refund_id,payment_id,customer_id,refund_amount,refund_reason,refund_date
91,2226,445,2499.00,Duplicate charge,2026-04-15 13:11:00
92,2229,445,2499.00,Order issue,2026-07-26 09:47:00
93,2282,454,624.75,Order issue,2026-01-21 11:40:00
94,2306,458,2499.00,Service dissatisfaction,2026-05-30 14:04:00
95,2339,465,499.50,Order issue,2026-04-22 15:36:00
96,2357,468,624.75,Plan change,2026-02-27 13:39:00
97,2366,469,624.75,Billing correction,2026-06-30 18:17:00
98,2377,472,9999.00,Plan change,2026-08-10 15:04:00
99,2562,513,1249.50,Billing correction,2026-06-26 09:41:00
100,2578,516,999.00,Plan change,2026-08-15 18:06:00
101,2587,518,499.50,Order issue,2026-04-20 09:10:00
102,2630,528,499.50,Billing correction,2026-08-08 15:26:00
103,2638,530,2499.75,Order issue,2026-08-22 12:34:00
104,2643,532,999.00,Order issue,2026-05-26 09:38:00
105,2654,533,999.00,Plan change,2026-08-19 16:52:00
106,2708,543,249.75,Billing correction,2026-06-22 12:07:00
107,2710,543,249.75,Order issue,2026-08-08 10:30:00
108,2849,570,624.75,Billing correction,2026-03-09 11:47:00
109,2880,575,499.50,Service dissatisfaction,2026-08-04 16:59:00
110,2903,581,624.75,Duplicate charge,2026-07-30 15:52:00
111,2909,584,2499.00,Plan change,2026-07-22 11:57:00
112,2928,587,499.50,Plan change,2026-07-26 13:06:00
113,2955,593,999.00,Billing correction,2026-08-11 13:07:00
114,2964,596,999.00,Order issue,2026-01-11 16:07:00
115,3068,617,249.75,Billing correction,2026-08-14 11:12:00
116,3069,618,249.75,Duplicate charge,2026-08-26 11:01:00
117,3079,620,2499.00,Duplicate charge,2026-04-26 10:08:00
118,3141,633,1249.50,Duplicate charge,2026-03-11 09:54:00
119,3162,637,249.75,Service dissatisfaction,2026-08-24 18:37:00
120,3222,652,999.00,Plan change,2026-08-24 16:37:00
121,3230,653,624.75,Order issue,2026-08-29 14:57:00
122,3246,656,4999.50,Plan change,2026-01-16 16:35:00
123,3258,657,499.50,Billing correction,2026-06-26 15:56:00
124,3276,661,1249.50,Service dissatisfaction,2026-01-20 14:27:00
125,3361,675,1249.50,Service dissatisfaction,2026-08-23 13:44:00
126,3363,676,1249.50,Plan change,2026-05-11 10:10:00
127,3448,691,1249.50,Service dissatisfaction,2026-01-13 14:38:00
128,3560,713,9999.00,Plan change,2026-08-16 12:37:00
129,3595,720,249.75,Order issue,2026-08-22 13:10:00
130,3607,723,2499.00,Duplicate charge,2026-02-09 15:24:00
131,3643,729,1249.50,Billing correction,2026-02-20 09:55:00
132,3661,732,249.75,Service dissatisfaction,2026-07-27 16:35:00
133,3684,738,999.00,Duplicate charge,2026-07-18 13:08:00
134,3711,742,624.75,Plan change,2026-08-12 14:20:00
135,3775,755,999.00,Billing correction,2026-08-12 10:53:00
136,3783,756,249.75,Plan change,2026-08-14 10:57:00
137,3786,757,624.75,Service dissatisfaction,2026-06-26 17:57:00
138,3807,761,249.75,Duplicate charge,2026-08-19 16:20:00
139,3840,769,249.75,Duplicate charge,2026-06-23 09:01:00
140,3887,780,4999.50,Service dissatisfaction,2026-07-02 11:16:00
141,3891,781,624.75,Billing correction,2026-07-30 13:47:00
142,3922,790,1249.50,Service dissatisfaction,2026-08-25 09:19:00
143,3940,793,624.75,Plan change,2026-03-06 15:52:00
144,4022,806,2499.00,Plan change,2026-04-20 10:16:00
145,4059,812,1249.50,Service dissatisfaction,2026-08-03 12:06:00
146,4079,818,999.00,Duplicate charge,2026-07-26 14:59:00
147,4161,835,999.00,Plan change,2026-03-01 13:22:00
148,4176,837,499.50,Order issue,2026-05-13 17:06:00
149,4178,837,999.00,Order issue,2026-07-22 15:06:00
150,4190,839,9999.00,Service dissatisfaction,2026-08-24 18:24:00
151,4206,842,624.75,Service dissatisfaction,2026-08-15 17:49:00
152,4220,846,999.00,Order issue,2026-03-01 17:07:00
153,4360,869,9999.00,Order issue,2026-07-13 17:53:00
154,4387,875,499.50,Billing correction,2026-07-15 10:38:00
155,4389,876,499.50,Plan change,2026-07-18 11:18:00
156,4429,886,249.75,Duplicate charge,2026-08-27 12:38:00
157,4522,906,999.00,Plan change,2026-05-10 17:50:00
158,4546,910,2499.00,Service dissatisfaction,2026-04-02 18:23:00
159,4550,910,1249.50,Duplicate charge,2026-08-20 18:25:00
160,4579,915,4999.50,Duplicate charge,2026-08-31 17:39:00
161,4591,917,249.75,Billing correction,2026-05-04 18:45:00
162,4604,919,999.00,Service dissatisfaction,2026-03-02 18:16:00
163,4611,920,999.00,Service dissatisfaction,2026-03-01 18:46:00
164,4642,924,249.75,Service dissatisfaction,2026-05-18 11:44:00
165,4645,924,249.75,Order issue,2026-08-23 17:16:00
166,4689,935,2499.00,Billing correction,2026-05-14 14:13:00
167,4731,943,2499.00,Billing correction,2026-08-24 12:47:00
168,4740,946,999.00,Service dissatisfaction,2026-06-20 15:35:00
169,4802,958,999.00,Service dissatisfaction,2026-05-07 09:22:00
170,4846,965,4999.50,Plan change,2026-03-14 11:09:00
171,4880,973,2499.00,Billing correction,2026-07-27 16:46:00
172,4893,977,999.00,Duplicate charge,2026-07-23 13:58:00
173,4899,979,499.50,Duplicate charge,2026-06-02 14:55:00
174,4926,985,2499.00,Duplicate charge,2026-03-28 10:55:00
175,4958,990,624.75,Service dissatisfaction,2026-05-23 12:15:00
176,4989,997,2499.00,Duplicate charge,2026-06-03 16:11:00
177,4996,998,1249.50,Service dissatisfaction,2026-04-23 15:52:00
